date,SVL,Mass,Days
1/02/2000,29.49725619,0.746877835,0
1/02/2001,61,4.16825,365
1/02/2002,60.72727273,4.255571698,730
1/02/2003,62.14150943,4.65409619,1095
1/02/2004,64.15584416,5.1111,1460
1/02/2005,65.25,5.437075862,1825
1/02/2006,65.30769231,5.749916,2190
1/02/2007,65.38095238,5.894345,2555
1/02/2008,65.53333333,5.922166667,2920
1/02/2009,65.71428571,5.665671429,3285
1/02/2010,64.5,5.9705,3650
1/02/2011,64,5.4746,4015
